compound,p0,DeltaH
131,3.1217831627650013e-13,105.99216360825974
132,6.367415111612173e-11,79.0768501405793
133,3.6184703521088487e-12,96.29309827072038
134,7.79360803978582e-10,89.4706966257041
135,1.7497574902663923e-08,63.78917488062606
136,1.1260837233009453e-10,76.70060245557701
137,1.3612136599173887e-09,70.71940101009571
138,1.7244814291008716e-09,57.32168224838908
139,6.540433599091007e-12,97.84044624576795
140,9.943510028681422e-10,81.00542301076712
141,6.367415111612173e-11,79.0768501405793
142,4.277378553162852e-14,112.82348189873183
143,2.3800815808485485e-14,113.12812150572121
144,1.8791076433144296e-09,79.0857667860351
145,4.6469927206038467e-08,59.345129841237174
146,2.99064464308896e-10,72.25655741618814
147,3.6151009519951195e-09,66.27535597070683
148,4.579864748359078e-09,52.8776372090002
149,2.759066110099024e-10,68.38728069392094
150,1.7370034129667654e-11,93.39640120637907
151,9.609906218152925e-12,91.8490532313315
152,2.640789879602062e-09,76.56137797137825
153,1.567920222555418e-11,85.60352882406198
154,9.471086651032321e-13,85.38156059909451
155,4.506587191573439e-08,72.28921416697145
156,5.447577225249572e-07,66.30801272149014
157,8.559915082162787e-11,80.41485445546874
158,1.0207286938320212e-13,97.98390267776401
159,1.8316276048111997e-12,102.07514762499868
160,2.2140773940344553e-11,96.09394617951737
161,2.804949333843893e-11,82.69622741781075
162,3.199618033937938e-14,114.46612582061066
163,3.867708665166783e-13,108.48492437512932
164,4.899886008091818e-13,95.08720561342271
165,2.313445264441928e-08,68.72457705169363
166,2.2211059822070347e-05,45.27860475245976
167,4.0148287194771023e-07,59.72635473637741
168,2.583805640492526e-09,72.63778231132838
169,2.38373040884001e-09,68.76850558906116
170,3.043409931091854e-08,65.0103250518019
171,2.583805640492526e-09,72.63778231132838
172,1.7343136895542917e-08,80.6568548664102
173,2.38373040884001e-09,68.76850558906116
174,1.326390163805711e-09,69.07314519605055
175,8.910166433851702e-13,102.81977695420306
176,2.754842747584754e-15,112.74689661058098
177,6.604109021913407e-15,100.50997918887502
178,6.955448473697114e-08,85.39112232653405
179,2.1488684458585508e-11,108.30625484601376
180,2.6189729136119695e-08,89.83516736592293
181,9.780731016062331e-11,106.76909843992134
182,1.7825208409987766e-10,108.72696238922944
183,1.3512261690158534e-11,114.01093270465394
184,2.8411890356354295e-15,142.9174582385701
