compound,p0,DeltaH
127,3.180821487745021e-05,68.74279010600549
128,3.4077156681334295e-05,50.64288867914877
129,0.14508295809370747,39.44191483760445
130,9.894389961096167,26.25952739501429
131,7.164020600143917e-07,64.02571820472218
132,8.321565748865905e-07,77.26336534320728
133,7.2692965044217e-08,83.39361284582922
134,7.29173832589446e-07,72.30318184867873
135,6.257618489629353e-07,73.82729135732839
136,3.099652439495675e-07,70.63243532115793
137,6.38308360002116e-08,84.68166072325046
138,7.789642896285675e-08,59.760380297607526
139,0.0016689556372479358,55.14437179278195
140,2.175322656281768e-07,69.38930076563867
141,8.852934591719335e-06,77.91053822884018
142,2.5250862762630033e-06,81.01256479518226
143,2.3874703495551826e-07,85.6064281537161
144,4.768388903171824e-10,107.80503394963341
145,0.0008612585453929997,52.52095333518024
146,4.413644437968369e-06,64.93920127855063
147,3.1237696051192845e-08,92.81234387290112
148,2.2787291687254736e-07,61.25722005849876
149,0.4116525724083223,38.454428246402834
150,2.00383515030647e-06,69.91590859759552
151,0.000892332037595084,51.54025202942868
152,1.2643250935089765e-05,71.71436100813501
153,7.457827031398922e-08,92.79735193830132
154,4.127144257572348e-06,70.59211867595673
155,9.960183441137902e-09,90.2249311363013
156,4.443555253187224e-07,76.69671867391125
157,1.1367058087302675e-08,95.19961712398434
158,0.15500178615844537,42.89847328579171
159,0.0002566814009383837,63.38791440713431
160,4.760632166885812e-06,76.1584060475239
161,3.7502220949900294e-07,81.76857416682012
162,9.198282816050877e-08,82.24325982382608
163,1.4394368193089725e-07,79.50914535750222
164,1.7526260571768414e-05,60.10828099729017
165,0.013289339220623145,49.52049361992145
166,1.2855823485654873e-07,81.01736516082693
167,0.09562434124137655,37.10315761557866
168,0.0016036601226704775,51.2356124224393
169,1.3041228270996555e-08,91.13134990260383
170,6.38308360002116e-08,84.68166072325046
171,7.273704138435158e-05,59.2071919370306
172,0.00010261469064021206,68.2114728913008
173,7.73093535576806e-05,57.2599835577901
174,1.6464366191294654e-05,56.224167985315745
175,5.510228348638526e-07,75.77718115238366
176,7.1746925890361165e-09,98.24844958067523
177,0.003454440979170406,54.574698166144785
178,3.1333644951202497e-07,81.70741038259617
179,1.0960838532487646e-05,66.14807363656787
180,0.036005954258767556,41.54720265496754
181,0.00044041670056683957,60.13435807128467
182,1.190829233440893e-05,71.3348475633574
183,5.0554103987236056e-06,79.86143364987473
184,4.39333071404451e-06,74.47623168793118
185,5.168461239641507e-08,88.82932302192911
186,5.143033305488575e-06,63.41509176990097
187,6.144650565855696e-05,66.95084007204952
188,3.216428136385884e-06,69.45488440917865
189,2.285284531056243e-05,73.26170898318259
190,1.1461193845607038e-08,95.61013309824486
191,9.887191672326962e-07,64.62961447464954
192,0.003997937273994827,61.81188771012531
193,2.0761318563889603e-06,68.93520729184398
194,1.862883276825004e-08,93.82905089965458
195,4.85692578756108e-09,88.81620532130854
196,0.0009488281227496858,54.424950490568314
197,2.2021957841007914e-07,59.20044827019308
198,2.9136843415504724e-08,91.72177089719253
199,2.5563757157725077e-08,83.72411430860674
200,5.615578111408658e-14,124.97535901305643
201,1.5189917734542674e-07,75.19987891302002
202,1.1528486812477254e-09,89.84370624116106
203,26.277446091703602,21.815482355625406
204,0.0013007194849233908,59.01874320553367
205,0.00023547536137974025,56.530238307931405
206,9.824697208458116e-06,45.672235807803034
207,3.543542707384424e-05,44.397550465129704
208,1.0144426418000255e-09,114.7129375282563
209,1.9365343545876667e-06,67.85913680928985
210,3.2214866801395215e-06,80.29781147992338
211,9.720664368992487e-05,69.68394702856015
212,2.06143408803859e-06,71.74324982126429
213,0.005418343383718886,29.414514812165834
214,5.305193292385447e-05,63.66189254648709
215,5.663598268848503e-07,83.25475835764374
216,0.000307913251262299,46.63076294230691
217,1.719784171117641e-07,93.62994659809003
218,6.144650565855696e-05,66.95084007204952
219,1.447732371746412e-07,81.36113293953917
220,5.622493015844662e-07,75.57144938439185
221,1.213003933355648e-06,84.74185651931226
222,8.93081555263664e-08,78.31923438262889
223,1.4932174465101645e-06,71.12740434500297
224,8.55559998194462e-06,75.8537664405345
225,4.318942030012976e-11,113.9182559888094
226,0.00018547742695540614,69.75882086634839
227,7.193600219170136e-10,88.87423556581889
228,0.001884148485241523,58.40858369869921
229,1.2570804705967166e-05,69.86237342609803
230,8.903954533786757e-06,79.76252581087716
231,2.4382918421746106e-08,102.51803667686778
232,1.8428978692891246e-05,74.1812465047102
233,0.00010261469064021206,68.2114728913008
234,2.7242555588221197e-10,95.17026818724476
235,2.6742199255816235e-14,126.62075781643645
236,8.037226795308168e-06,71.96965342856008
237,0.010617691601855236,57.36784267073644
238,2.2122120580428257e-11,115.7519671058565
239,3.56396433614166e-05,46.24953804716667
240,0.00033599464437804864,55.98429706881756
241,1.852208896525633e-08,91.9770633176176
242,2.529002398079193e-09,93.75211113515114
243,9.302746647808105e-07,71.58842853341984
244,3.60324649102972e-08,98.3786312444683
245,4.760632166885812e-06,76.1584060475239
246,0.06734302681389287,45.1513224183208
247,6.423341719863641e-11,102.94546323296768
248,1.399161089126202e-09,92.20476316010357
249,2.0747963050081163e-07,80.22122619177254
250,0.5282100138070889,39.59166251318092
251,2.2721897781641796e-05,71.40972140114562
252,4.760632166885812e-06,76.1584060475239
253,1.72491948541156e-10,75.8590308163224
254,8.137542132324768e-11,89.54774447126105
255,1.399962823301729e-09,82.30072834058964
256,8.852934591719335e-06,77.91053822884018
257,1.7707971123826298e-05,70.27248713436754
258,0.00022867555742153744,61.97569008325402
259,2.1022622821833775e-07,67.33252897733298
260,1.4133517216514645e-05,61.02781851881777
261,8.321565748865905e-07,77.26336534320728
262,5.176370450395725e-07,71.89306814040923
263,6.423341719863641e-11,102.94546323296768
264,6.326623353311553e-07,80.58648097801256
265,3.844876693091845e-07,76.91708790015032
266,4.3946545059123926e-08,79.5205253999357
267,0.00012998388994170664,65.29315642593244
268,1.402816163248944,35.147617473792046
269,4.089083450352912e-12,111.63772216347259
270,0.00037777583808333397,52.1613478410671
271,8.009525034671538e-08,79.81378496449159
272,5.268337488313772e-10,96.64880819949244
273,4.760632166885812e-06,76.1584060475239
274,1.6952145191153506e-07,80.23761568386155
275,7.235057327277732e-10,90.72622314785588
276,1.402816163248944,35.147617473792046
277,6.512916266400455e-08,99.92597921951587
278,1.7296953805442826e-07,95.48193418012698
279,1.9365343545876667e-06,67.85913680928985
280,2.268621869136254e-05,60.5667943304009
281,0.0003084092601441151,42.892032867149105
282,1.0150232607756963e-13,126.522706988104
283,1.4946091772255545e-09,101.14514664501652
284,3.6993467740713464e-06,50.11628084719191
285,3.1519284738879047e-10,88.8558880275369
286,1.3077462969151664e-09,92.27357112290345
287,2.519650407752954e-10,90.45414648273187
288,7.133581372794469e-09,96.39646199863826
289,1.2606512860516289e-05,46.80947007458112
290,0.0012308484902948966,56.68122819955925
291,5.6599549422142966e-08,94.54077725757233
292,7.71104479928293,25.1222931282362
293,0.0016036601226704775,51.2356124224393
294,2.701526095008249e-09,102.69249462006411
295,0.15500178615844537,42.89847328579171
296,0.00012651389426181136,60.428342108206444
297,0.0002450631067344098,60.43899767827405
298,0.0001342822733494527,39.40756418662699
299,9.04245393546408e-09,84.28404633602119
300,8.656037597627411e-07,80.26135578918907
301,9.220437248297358e-10,90.35272778842813
302,7.269025049495772e-06,70.49321083695916
303,0.00068169252499869,58.94386936774543
304,2.7086454880091354e-10,93.31828060520778
305,1.3986793183565423e-07,88.82507383285125
306,2.148591722994257e-09,96.14207583125392
307,5.27825734611997e-08,77.96174959281618
308,1.792546770189288e-06,80.60245108691275
309,8.428930839907448e-14,122.18259108806386
310,3.988530014510282e-06,68.53534688765106
311,2.4849475160900366e-08,81.89677308493799
312,7.216040731446029e-09,100.1004371627122
313,2.221430943804405e-05,71.43436775951385
314,2.2721897781641796e-05,71.40972140114562
315,1.7526260571768414e-05,60.10828099729017
316,3.162595279669069e-05,66.89080252396852
317,7.232694713320981e-12,125.47265184442293
318,1.8003164899102258e-08,91.77227911134888
319,8.009525034671538e-08,79.81378496449159
320,1.891713132141574e-06,57.729685583296344
321,1.401795597466424e-07,73.5177045534273
322,1.3419589113098095e-05,50.693583086555556
323,0.00023683241865509103,58.38222588996838
324,9.514641408606553e-08,92.08259862304243
325,0.001820867485160384,56.35181191039353
326,8.326922360789618e-06,65.97734644327872
327,1.7526915073539e-07,73.00868300616023
328,0.00018441463541237103,67.90683328431143
329,0.00034521023268368594,60.84911138654355
330,1.4742783301133834e-06,56.59245131651826
331,2.913575536803455e-06,78.82136888832248
332,2.8115229291405795e-09,106.60125399040676
333,9.960183441137902e-09,90.2249311363013
334,5.982273077010714e-09,88.44809812678889
335,1.8888448716392784e-05,62.12557013752041
336,6.232827411395482e-06,72.07830286678036
337,3.4142398868148804e-07,76.57332012143804
338,6.228817906300581e-07,83.36432176670893
339,7.1121705171782945e-06,66.56961517690928
