SMILES,molar_mass,log_p_sat,c,volatility
Cc1cccc(c1C)O,122.1644,-2.0136762229492344,0.4775286630166757,IVOC
CCC(C)(O)OC(=O)C,132.1577,-0.8961962790440432,6.7706005791481605,VOC
C=C(CO)C(CO)O,118.1311,-3.9746941347352296,0.005051276182160865,IVOC
CC1=C(C)C(=O)OC1,112.1265,-2.489454989793388,0.14654947853814362,IVOC
C(=O)(C(Cl)(Cl)O)Cl,163.3871,0.0718820073061253,77.77334407223545,VOC
C(C(CO)OO)C(=O)C(=O)CO,178.14,-6.063486257521107,6.20877886001612e-05,SVOC
CC(C)(C=O)C(=O)O,116.1152,-2.3242216583259148,0.22202323051094722,IVOC
CC(=O)C1CCC(C)(C(C1)OO)O,188.2209,-6.546681659952962,2.156339741377409e-05,SVOC
CC(=O)C1CC(COO)C1(C)C,172.2215,-4.950781977329818,0.0007781017488410978,IVOC
C(=O)C(CO)OO,106.0773,-2.621602099051862,0.10227073078605833,IVOC
CCC(=O)C=CC1(C)C(C(=O)OON(=O)=O)O1,245.1861,-4.494850021680094,0.0031650226714107508,IVOC
C(C=O)C(=O)CC(=O)OO,146.0981,-3.2692177243336107,0.031707196560020974,IVOC
CCC(C(C)O)OO,120.147,-3.1180450286604,0.03693166638567017,IVOC
CC(C(C=O)O)(C(=O)O)ON(=O)=O,193.1116,-3.714442690992226,0.01503476597440857,IVOC
CC(C)(C(C=O)ON(=O)=O)O,163.1287,-1.5199930570428493,1.9873223622924119,IVOC
CC(CO)C(O)ON(=O)=O,151.118,-2.9956786262173574,0.061569917582352744,IVOC
CCC12C(=C(C(C(C1O)(N(=O)=O)OO2)(O)OO)N(=O)=O)C,308.199,-6.7544873321858505,2.1881389371924683e-05,SVOC
CCC12C=CC(C(C1O)OO2)ON(=O)=O,217.176,-4.294992040666664,0.00444171603973668,IVOC
C(C=O)C(=O)C(CC=O)OO,160.1247,-3.769551078621726,0.010980907968730642,IVOC
CC(CCO)OO,106.1204,-3.3535962737769305,0.018964159781505698,IVOC
CC(COO)C(=O)C,118.1311,-2.4282911681913126,0.1777477373533963,IVOC
