compound,SMILES
101,C(=O)(N(=O)(=O))C(=O)C(OO)(C)C(=O)
102,C(=O)(N(=O)(=O))C(=O)C(OO)(C)C(=O)(OO)
103,C(=O)(N(=O)(=O))C(=O)C(OO)(C)C(=O)(OON(=O)(=O))
104,C(=O)(N(=O)(=O))C(=O)C(OO)(C)C(=O)C(=O)C(=O)
105,C(=O)(N(=O)(=O))C(=O)C(OO)(C)C(=O)OOC(=O)
106,C(=O)(N(=O)(=O))C(=O)C(OO)(C)C(O)C(=O)(OON(=O)(=O))
107,C(=O)(N(=O)(=O))C(=O)C(OO)(C)C(O)C(=O)C(=O)
108,C(=O)(N(=O)(=O))C(=O)C(OO)(C)OC(=O)
109,C(=O)(N(=O)(=O))C(=O)C(OO)(C)OC(=O)C(=O)
110,C(=O)(N(=O)(=O))C(=O)C(OO)(C)OC(=O)C(=O)(OO)
111,C(=O)(N(=O)(=O))C(=O)C(OO)(C)OC(=O)C(=O)(OON(=O)(=O))
112,C(=O)(N(=O)(=O))C(=O)C(OO)(C)OOC(=O)
113,C(=O)(N(=O)(=O))C(=O)C(OO)(C)OOC(=O)C(=O)
114,C(=O)(N(=O)(=O))C(=O)C(OO)(C1(O))OOC1C(=O)
115,C(=O)(N(=O)(=O))C(=O)C(OO)C(=O)
116,C(=O)(N(=O)(=O))C(=O)C(OO)C(=O)(O)
117,C(=O)(N(=O)(=O))C(=O)C(OO)C(=O)(OO)
118,C(=O)(N(=O)(=O))C(=O)C(OO)C(=O)C(O)(C)C(=O)(O)
119,C(=O)(N(=O)(=O))C(=O)C(OO)C(=O)C(O)(C)C(=O)(OO)
120,C(=O)(N(=O)(=O))C(=O)C(OO)C(=O)C(O)(C)C(=O)(OON(=O)(=O))
121,C(=O)(N(=O)(=O))C(=O)C(OO)C(=O)C(OO)
122,C(=O)(N(=O)(=O))C(=O)C(OO)C(ON(=O)(=O))
123,C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)
124,C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)C(=O)
125,C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)C(=O)(OO)
126,C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)C(=O)(OON(=O)(=O))
127,C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)C(=O)C(ON(=O)(=O))
128,C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)C(=O)C(OO)
129,C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)C(ON(=O)(=O))
130,C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)C(OO)
131,C(=O)(N(=O)(=O))C(=O)C(OO)OOC(=O)
132,C(=O)(N(=O)(=O))C(=O)C1(C(=O)(O))OOC(C1(O))C(=O)
133,C(=O)(N(=O)(=O))C(=O)C1(C(=O))OOC(C1(O))C(=O)
134,C(=O)(N(=O)(=O))C(=O)C1(C(O))OOC(C1(=O))C(=O)
135,C(=O)(N(=O)(=O))C(=O)C1(C(O))OOC(C1(O))C(=O)
136,C(=O)(N(=O)(=O))C(=O)C1(C(ON(=O)(=O)))OOC(C1(=O))C(=O)
